Data,Descrição,Valor,Saldo
25/04/2025,Supermercado Extra,-150.50,3200.00
24/04/2025,Salário Empresa,-3500.00,3350.50
23/04/2025,Uber,-45.20,6850.50
22/04/2025,Netflix,-19.90,6895.70
21/04/2025,Restaurante Italiano,-125.00,6915.60
20/04/2025,Freelance Projeto,-2000.00,7040.60
19/04/2025,Farmácia Drogasil,-85.50,9040.60
18/04/2025,Gasolina Posto Ipê,-180.00,9126.10
17/04/2025,Aluguel Apartamento,-1800.00,9306.10
16/04/2025,Transferência Para Poupança,-1000.00,11106.10
15/04/2025,Conta de Água,-120.50,12106.10
14/04/2025,Conta de Luz,-280.75,12226.60
13/04/2025,Compra Amazon,-189.99,12507.35
12/04/2025,Academia Fitness,-99.90,12697.34
11/04/2025,Boleto Conta Telefone,-65.00,12797.24
10/04/2025,Deliveroo Comida,-52.30,12862.24
09/04/2025,Livraria Saraiva,-128.00,12914.54
08/04/2025,Cinema Ingresso,-45.00,13042.54
07/04/2025,Médico Consulta,-200.00,13087.54
06/04/2025,Compras Lojas Americanas,-156.70,13287.54
